,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
1,Ethiopia,guji-hambela,metad plc,,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,90.58
2,Ethiopia,guji-hambela,metad plc,Other,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,89.92
3,Guatemala,,Grounds for Health Admin,Bourbon,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,89.75
4,Ethiopia,oromia,Yidnekachew Dabessa,,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,89
5,Ethiopia,guji-hambela,metad plc,Other,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,88.83
6,Brazil,,Ji-Ae Ahn,,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,88.83
7,Peru,,Hugo Valdivia,Other,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,88.75
8,Ethiopia,oromia,Ethiopia Commodity Exchange,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,88.67
9,Ethiopia,oromiya,Ethiopia Commodity Exchange,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,88.42
10,Ethiopia,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,Other,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,88.25
11,Ethiopia,oromia,Mohammed Lalo,,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,88.08
12,United States,antioquia,CQI Q Coffee Sample Representative,Other,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,87.92
13,United States,antioquia,CQI Q Coffee Sample Representative,Other,8.08,8.67,8.33,8.42,8,8.08,10,10,10,87.92
14,United States (Hawaii),kona,Grounds for Health Admin,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,87.92
15,Ethiopia,oromiya,Ethiopia Commodity Exchange,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,87.83
16,United States,antioquia,CQI Q Coffee Sample Representative,Other,8,8.5,8.58,8.17,8.17,8,10,10,10,87.58
